mobilenet_v2_224x224,224x224,0.00032748672,3.504872
mobilenet_v2_1280x720,1280x720,0.00602566656,3.504872
mobilenet_v2_1920x1080,1920x1080,0.01353991808,3.504872
mobilenet_v3_large_224x224,224x224,0.000234838456,5.483032
mobilenet_v3_large_1280x720,1280x720,0.004262878616,5.483032
mobilenet_v3_large_1920x1080,1920x1080,0.009585404696,5.483032
mobilenet_v2_small_224x224,224x224,6.2477944e-05,2.542856
mobilenet_v2_small_1280x720,1280x720,0.001118628408,2.542856
mobilenet_v2_small_1920x1080,1920x1080,0.002510278968,2.542856
resnet_18_224x224,224x224,0.001824033792,11.689512
resnet_18_1280x720,1280x720,0.033661747712,11.689512
resnet_18_1920x1080,1920x1080,0.075612447232,11.689512
resnet_50_224x224,224x224,0.004133742592,25.557032
resnet_50_1280x720,1280x720,0.076179539968,25.557032
resnet_50_1920x1080,1920x1080,0.171418298368,25.557032
yolov5n_224x224,224x224,0.000273747712,1.867405
yolov5n_1280x736,1280x736,0.00513975296,1.867405
yolov5n_1920x1088,1920x1088,0.01139684352,1.867405
yolov5s_224x224,224x224,0.001006706176,7.225885
yolov5s_1280x736,1280x736,0.01890142208,7.225885
yolov5s_1920x1088,1920x1088,0.04191184896,7.225885
yolov5m_224x224,224x224,0.002993663232,21.172173
yolov5m_1280x736,1280x736,0.05620755456,21.172173
yolov5m_1920x1088,1920x1088,0.12463414272,21.172173
yolov5l_224x224,224x224,0.00667616768,46.533693
yolov5l_1280x736,1280x736,0.1253484544,46.533693
yolov5l_1920x1088,1920x1088,0.2779465728,46.533693
resnext50_32x4d_224x224,224x224,0.00428818432,25.028904
resnext50_32x4d_1280x720,1280x720,0.078997424128,25.028904
resnext50_32x4d_1920x1080,1920x1080,0.177806215168,25.028904
detr-resnet-50_224x224,224x224,0.005404336128,41.342912
vit_mae_base_224x224,224x224,0.004366178304,85.646592
swin-tiny-patch4-window7_224x224,224x224,0.00436459776,27.496032
swin-small-patch4-window7_224x224,224x224,0.008533621248,48.7896
swin-base-patch4-window7_224x224,224x224,0.015154608128,86.67968
deit-base-distilled-patch16_224x224,224x224,0.016948463616,86.237184
deit-small-distilled-patch16_224x224,224x224,0.00426981888,21.737472
deit-tiny-distilled-patch16_224x224,224x224,0.001083806208,5.523456
